,時点,死亡数,集計年,説明変数,予測値,実測値からの差
359,2007年12月,103804,2007,2008.0,96441.90169795137,7362.098302048631
360,2008年1月,110384,2008,2008.0833333333333,96571.80827329028,13812.191726709716
361,2008年2月,102413,2008,2008.1666666666667,96701.7148486292,5711.285151370801
362,2008年3月,102778,2008,2008.25,96831.62142396811,5946.378576031886
363,2008年4月,94055,2008,2008.3333333333333,96961.52799930656,-2906.5279993065633
364,2008年5月,91597,2008,2008.4166666666667,97091.43457464594,-5494.434574645944
365,2008年6月,84258,2008,2008.5,97221.34114998486,-12963.341149984859
366,2008年7月,87663,2008,2008.5833333333333,97351.24772532331,-9688.247725323308
367,2008年8月,88063,2008,2008.6666666666667,97481.15430066269,-9418.154300662689
368,2008年9月,85018,2008,2008.75,97611.06087600114,-12593.060876001138
369,2008年10月,92765,2008,2008.8333333333333,97740.96745134005,-4975.967451340053
370,2008年11月,97922,2008,2008.9166666666667,97870.87402667897,51.12597332103178
371,2008年12月,105491,2008,2009.0,98000.78060201788,7490.219397982117
372,2009年1月,114307,2009,2009.0833333333333,98130.6871773568,16176.312822643202
373,2009年2月,94331,2009,2009.1666666666667,98260.59375269571,-3929.593752695713
374,2009年3月,100985,2009,2009.25,98390.50032803463,2594.499671965372
375,2009年4月,93694,2009,2009.3333333333333,98520.40690337354,-4826.406903373543
376,2009年5月,92714,2009,2009.4166666666667,98650.31347871246,-5936.313478712458
377,2009年6月,84824,2009,2009.5,98780.22005405137,-13956.220054051373
378,2009年7月,86861,2009,2009.5833333333333,98910.12662939029,-12049.126629390288
379,2009年8月,88685,2009,2009.6666666666667,99040.0332047292,-10355.033204729203
380,2009年9月,87591,2009,2009.75,99169.93978006812,-11578.939780068118
381,2009年10月,94708,2009,2009.8333333333333,99299.84635540657,-4591.846355406567
382,2009年11月,97110,2009,2009.9166666666667,99429.75293074595,-2319.752930745948
383,2009年12月,106055,2009,2010.0,99559.65950608486,6495.340493915137
384,2010年1月,113091,2010,2010.0833333333333,99689.56608142331,13401.433918576688
385,2010年2月,97957,2010,2010.1666666666667,99819.4726567627,-1862.472656762693
386,2010年3月,103220,2010,2010.25,99949.37923210114,3270.6207678988576
387,2010年4月,98875,2010,2010.3333333333333,100079.28580744006,-1204.2858074400574
388,2010年5月,97707,2010,2010.4166666666667,100209.19238277897,-2502.1923827789724
389,2010年6月,90408,2010,2010.5,100339.09895811789,-9931.098958117887
390,2010年7月,95164,2010,2010.5833333333333,100469.0055334568,-5305.005533456802
391,2010年8月,95699,2010,2010.6666666666667,100598.91210879572,-4899.912108795717
392,2010年9月,91715,2010,2010.75,100728.81868413463,-9013.818684134632
393,2010年10月,98355,2010,2010.8333333333333,100858.72525947355,-2503.7252594735473
394,2010年11月,103939,2010,2010.9166666666667,100988.63183481246,2950.3681651875377
395,2010年12月,110884,2010,2011.0,101118.53841015138,9765.461589848623
396,2011年1月,121776,2011,2011.0833333333333,101248.44498549029,20527.555014509708
397,2011年2月,103008,2011,2011.1666666666667,101378.35156082921,1629.6484391707927
398,2011年3月,130052,2011,2011.25,101508.25813616812,28543.741863831878
399,2011年4月,103701,2011,2011.3333333333333,101638.16471150657,2062.8352884934284
400,2011年5月,101201,2011,2011.4166666666667,101768.07128684595,-567.0712868459523
401,2011年6月,94571,2011,2011.5,101897.97786218487,-7326.977862184867
402,2011年7月,94281,2011,2011.5833333333333,102027.88443752332,-7746.884437523317
403,2011年8月,96081,2011,2011.6666666666667,102157.7910128627,-6076.791012862697
404,2011年9月,92090,2011,2011.75,102287.69758820115,-10197.697588201147
405,2011年10月,100419,2011,2011.8333333333333,102417.60416354006,-1998.6041635400616
406,2011年11月,101395,2011,2011.9166666666667,102547.51073887898,-1152.5107388789766
407,2011年12月,114493,2011,2012.0,102677.41731421789,11815.582685782108
408,2012年1月,123101,2012,2012.0833333333333,102807.3238895568,20293.676110443193
409,2012年2月,114199,2012,2012.1666666666667,102937.23046489572,11261.769535104278
410,2012年3月,111130,2012,2012.25,103067.13704023464,8062.8629597653635
411,2012年4月,102562,2012,2012.3333333333333,103197.04361557355,-635.0436155735515
412,2012年5月,98945,2012,2012.4166666666667,103326.95019091247,-4381.9501909124665
413,2012年6月,90959,2012,2012.5,103456.85676625138,-12497.856766251381
414,2012年7月,94741,2012,2012.5833333333333,103586.7633415903,-8845.763341590296
415,2012年8月,96964,2012,2012.6666666666667,103716.66991692921,-6752.6699169292115
416,2012年9月,92880,2012,2012.75,103846.57649226813,-10966.576492268126
417,2012年10月,102648,2012,2012.8333333333333,103976.48306760658,-1328.4830676065758
418,2012年11月,108280,2012,2012.9166666666667,104106.38964294596,4173.610357054044
419,2012年12月,119950,2012,2013.0,104236.2962182844,15713.703781715594
420,2013年1月,127352,2013,2013.0833333333333,104366.20279362332,22985.79720637668
421,2013年2月,110772,2013,2013.1666666666667,104496.1093689627,6275.890631037299
422,2013年3月,111065,2013,2013.25,104626.01594430115,6438.984055698849
423,2013年4月,103571,2013,2013.3333333333333,104755.92251964007,-1184.9225196400657
424,2013年5月,102065,2013,2013.4166666666667,104885.82909497898,-2820.8290949789807
425,2013年6月,92313,2013,2013.5,105015.7356703179,-12702.735670317896
426,2013年7月,96883,2013,2013.5833333333333,105145.64224565681,-8262.64224565681
427,2013年8月,99049,2013,2013.6666666666667,105275.54882099573,-6226.548820995726
428,2013年9月,96208,2013,2013.75,105405.45539633464,-9197.45539633464
429,2013年10月,103060,2013,2013.8333333333333,105535.36197167356,-2475.3619716735557
430,2013年11月,108764,2013,2013.9166666666667,105665.26854701247,3098.7314529875293
431,2013年12月,117336,2013,2014.0,105795.17512235139,11540.824877648614
432,2014年1月,124705,2014,2014.0833333333333,105925.0816976903,18779.9183023097
433,2014年2月,110317,2014,2014.1666666666667,106054.98827302922,4262.011726970784
434,2014年3月,113808,2014,2014.25,106184.89484836813,7623.105151631869
435,2014年4月,104422,2014,2014.3333333333333,106314.80142370658,-1892.80142370658
436,2014年5月,100843,2014,2014.4166666666667,106444.70799904596,-5601.707999045961
437,2014年6月,92509,2014,2014.5,106574.61457438441,-14065.61457438441
438,2014年7月,95995,2014,2014.5833333333333,106704.52114972332,-10709.521149723325
439,2014年8月,98119,2014,2014.6666666666667,106834.4277250627,-8715.427725062706
440,2014年9月,97610,2014,2014.75,106964.33430040115,-9354.334300401155
441,2014年10月,104333,2014,2014.8333333333333,107094.24087574007,-2761.24087574007
442,2014年11月,108192,2014,2014.9166666666667,107224.14745107898,967.8525489210151
443,2014年12月,122172,2014,2015.0,107354.0540264179,14817.9459735821
444,2015年1月,134256,2015,2015.0833333333333,107483.96060175681,26772.039398243185
445,2015年2月,110042,2015,2015.1666666666667,107613.86717709573,2428.13282290427
446,2015年3月,113860,2015,2015.25,107743.77375243464,6116.226247565355
447,2015年4月,104886,2015,2015.3333333333333,107873.68032777356,-2987.68032777356
448,2015年5月,102731,2015,2015.4166666666667,108003.58690311247,-5272.586903112475
449,2015年6月,94569,2015,2015.5,108133.49347845139,-13564.49347845139
450,2015年7月,99448,2015,2015.5833333333333,108263.4000537903,-8815.400053790305
451,2015年8月,101081,2015,2015.6666666666667,108393.30662912922,-7312.30662912922
452,2015年9月,98242,2015,2015.75,108523.21320446813,-10281.213204468135
453,2015年10月,107928,2015,2015.8333333333333,108653.11977980658,-725.1197798065841
454,2015年11月,106616,2015,2015.9166666666667,108783.02635514596,-2167.0263551459648
455,2015年12月,116851,2015,2016.0,108912.93293048441,7938.067069515586
456,2016年1月,124668,2016,2016.0833333333333,109042.83950582333,15625.16049417667
457,2016年2月,114527,2016,2016.1666666666667,109172.74608116271,5354.25391883729
458,2016年3月,116072,2016,2016.25,109302.65265650116,6769.347343498841
459,2016年4月,105264,2016,2016.3333333333333,109432.55923184007,-4168.559231840074
460,2016年5月,103261,2016,2016.4166666666667,109562.46580717899,-6301.465807178989
461,2016年6月,95443,2016,2016.5,109692.3723825179,-14249.372382517904
462,2016年7月,99203,2016,2016.5833333333333,109822.27895785682,-10619.278957856819
463,2016年8月,103353,2016,2016.6666666666667,109952.18553319573,-6599.185533195734
464,2016年9月,100240,2016,2016.75,110082.09210853465,-9842.092108534649
465,2016年10月,109608,2016,2016.8333333333333,110211.99868387356,-603.998683873564
466,2016年11月,113856,2016,2016.9166666666667,110341.90525921248,3514.094740787521
467,2016年12月,122663,2016,2017.0,110471.8118345514,12191.188165448606
468,2017年1月,134174,2017,2017.0833333333333,110601.71840989031,23572.28159010969
469,2017年2月,116534,2017,2017.1666666666667,110731.62498522922,5802.375014770776
470,2017年3月,120019,2017,2017.25,110861.53156056814,9157.468439431861
471,2017年4月,108422,2017,2017.3333333333333,110991.43813590659,-2569.4381359065883
472,2017年5月,106278,2017,2017.4166666666667,111121.34471124597,-4843.344711245969
473,2017年6月,97844,2017,2017.5,111251.25128658442,-13407.251286584418
474,2017年7月,102387,2017,2017.5833333333333,111381.15786192333,-8994.157861923333
475,2017年8月,103617,2017,2017.6666666666667,111511.06443726271,-7894.064437262714
476,2017年9月,100893,2017,2017.75,111640.97101260116,-10747.971012601163
477,2017年10月,110422,2017,2017.8333333333333,111770.87758794008,-1348.8775879400782
478,2017年11月,115170,2017,2017.9166666666667,111900.784163279,3269.215836721007
479,2017年12月,124807,2017,2018.0,112030.69073861791,12776.309261382092
480,2018年1月,137773,2018,2018.0833333333333,112160.59731395682,25612.402686043177
481,2018年2月,122855,2018,2018.1666666666667,112290.50388929574,10564.496110704262
482,2018年3月,120575,2018,2018.25,112420.41046463465,8154.589535365347
483,2018年4月,108977,2018,2018.3333333333333,112550.31703997357,-3573.317039973568
484,2018年5月,106196,2018,2018.4166666666667,112680.22361531248,-6484.223615312483
485,2018年6月,98406,2018,2018.5,112810.1301906514,-14404.130190651398
486,2018年7月,106782,2018,2018.5833333333333,112940.03676598985,-6158.0367659898475
487,2018年8月,105948,2018,2018.6666666666667,113069.94334132923,-7121.943341329228
488,2018年9月,104679,2018,2018.75,113199.84991666814,-8520.849916668143
489,2018年10月,112320,2018,2018.8333333333333,113329.75649200659,-1009.7564920065925
490,2018年11月,114473,2018,2018.9166666666667,113459.66306734597,1013.3369326540269
491,2018年12月,123486,2018,2019.0,113589.56964268442,9896.430357315578
492,2019年1月,140223,2019,2019.0833333333333,113719.47621802334,26503.523781976663
493,2019年2月,117312,2019,2019.1666666666667,113849.38279336272,3462.617206637282
494,2019年3月,118335,2019,2019.25,113979.28936870117,4355.710631298833
495,2019年4月,112790,2019,2019.3333333333333,114109.19594404008,-1319.1959440400824
496,2019年5月,110055,2019,2019.4166666666667,114239.102519379,-4184.102519378997
497,2019年6月,101290,2019,2019.5,114369.00909471791,-13079.009094717912
498,2019年7月,105858,2019,2019.5833333333333,114498.91567005683,-8640.915670056827
499,2019年8月,110466,2019,2019.6666666666667,114628.82224539574,-4162.822245395742
500,2019年9月,106732,2019,2019.75,114758.72882073466,-8026.728820734657
501,2019年10月,113147,2019,2019.8333333333333,114888.63539607357,-1741.6353960735723
502,2019年11月,118152,2019,2019.9166666666667,115018.54197141249,3133.4580285875127
503,2019年12月,126733,2019,2020.0,115148.4485467514,11584.551453248598
504,2020年1月,131091,2020,2020.0833333333333,115278.35512208985,15812.644877910148
505,2020年2月,116139,2020,2020.1666666666667,115408.26169742923,730.7383025707677
506,2020年3月,118020,2020,2020.25,115538.16827276815,2481.8317272318527
507,2020年4月,112869,2020,2020.3333333333333,115668.0748481066,-2799.0748481065966
508,2020年5月,106992,2020,2020.4166666666667,115797.98142344598,-8805.981423445977
509,2020年6月,99326,2020,2020.5,115927.88799878443,-16601.887998784427
510,2020年7月,104126,2020,2020.5833333333333,116057.79457412334,-11931.794574123342
511,2020年8月,111141,2020,2020.6666666666667,116187.70114946272,-5046.701149462722
512,2020年9月,106345,2020,2020.75,116317.60772480117,-9972.607724801172
513,2020年10月,116951,2020,2020.8333333333333,116447.51430014009,503.48569985991344
514,2020年11月,117607,2020,2020.9166666666667,116577.420875479,1029.5791245209984
515,2020年12月,132148,2020,2021.0,116707.32745081792,15440.672549182083
516,2021年1月,139899,2021,2021.0833333333333,116837.23402615683,23061.76597384317
517,2021年2月,118129,2021,2021.1666666666667,116967.14060149575,1161.8593985042535
518,2021年3月,122189,2021,2021.25,117097.04717683466,5091.9528231653385
519,2021年4月,117260,2021,2021.3333333333333,117226.95375217358,33.046247826423496
520,2021年5月,117291,2021,2021.4166666666667,117356.86032751249,-65.8603275124915
521,2021年6月,107617,2021,2021.5,117486.7669028514,-9869.766902851406
522,2021年7月,111623,2021,2021.5833333333333,117616.67347818986,-5993.673478189856
523,2021年8月,116888,2021,2021.6666666666667,117746.58005352924,-858.5800535292365
524,2021年9月,114373,2021,2021.75,117876.48662886815,-3503.4866288681515
525,2021年10月,120067,2021,2021.8333333333333,118006.3932042066,2060.606795793399
526,2021年11月,121510,2021,2021.9166666666667,118136.29977954598,3373.7002204540186
527,2021年12月,133010,2021,2022.0,118266.20635488443,14743.79364511557
528,2022年1月,143288,2022,2022.0833333333333,118396.11293022335,24891.887069776654
529,2022年2月,137763,2022,2022.1666666666667,118526.01950556273,19236.980494437274
530,2022年3月,137983,2022,2022.25,118655.92608090118,19327.073919098824
531,2022年4月,120736,2022,2022.3333333333333,118785.83265624009,1950.1673437599093
532,2022年5月,119992,2022,2022.4166666666667,118915.739231579,1076.2607684209943
533,2022年6月,111054,2022,2022.5,119045.64580691792,-7991.645806917921
534,2022年7月,116960,2022,2022.5833333333333,119175.55238225684,-2215.5523822568357
535,2022年8月,134527,2022,2022.6666666666667,119305.45895759575,15221.54104240425
536,2022年9月,125463,2022,2022.75,119435.36553293467,6027.634467065334
537,2022年10月,130537,2022,2022.8333333333333,119565.27210827358,10971.72789172642
538,2022年11月,132975,2022,2022.9166666666667,119695.1786836125,13279.821316387504
539,2022年12月,157772,2022,2023.0,119825.08525895141,37946.91474104859
540,2023年1月,164264,2023,2023.0833333333333,119954.99183428986,44309.00816571014
541,2023年2月,134234,2023,2023.1666666666667,120084.89840962924,14149.10159037076
542,2023年3月,132596,2023,2023.25,120214.80498496816,12381.195015031844
543,2023年4月,121841,2023,2023.3333333333333,120344.7115603066,1496.288439693395
544,2023年5月,121023,2023,2023.4166666666667,120474.61813564599,548.3818643540144
545,2023年6月,112389,2023,2023.5,120604.52471098443,-8215.524710984435
546,2023年7月,119412,2023,2023.5833333333333,120734.43128632335,-1322.43128632335
547,2023年8月,129690,2023,2023.6666666666667,120864.33786166273,8825.66213833727
548,2023年9月,126188,2023,2023.75,120994.24443700118,5193.75556299882
549,2023年10月,132869,2023,2023.8333333333333,121124.1510123401,11744.848987659905
550,2023年11月,132796,2023,2023.9166666666667,121254.05758767901,11541.94241232099
551,2023年12月,148634,2023,2024.0,121383.96416301792,27250.035836982075
552,2024年1月,151988,2024,2024.0833333333333,121513.87073835684,30474.12926164316
553,2024年2月,138498,2024,2024.1666666666667,121643.77731369575,16854.222686304245
554,2024年3月,142937,2024,2024.25,121773.68388903467,21163.31611096533
555,2024年4月,126195,2024,2024.3333333333333,121903.59046437358,4291.409535626415
556,2024年5月,124167,2024,2024.4166666666667,122033.4970397125,2133.5029602875
557,2024年6月,116489,2024,2024.5,122163.40361505141,-5674.403615051415
558,2024年7月,126383,2024,2024.5833333333333,122293.31019038986,4089.689809610136
