,時点,死亡数,集計年,説明変数,予測値,実測値からの差
27,1980年4月,60975,1980,1980.3333333333333,53312.918685439974,7662.081314560026
28,1980年5月,58924,1980,1980.4166666666667,53442.825260779355,5481.174739220645
29,1980年6月,52539,1980,1980.5,53572.731836117804,-1033.731836117804
30,1980年7月,53571,1980,1980.5833333333333,53702.63841145672,-131.63841145671904
31,1980年8月,53653,1980,1980.6666666666667,53832.544986795634,-179.54498679563403
32,1980年9月,52472,1980,1980.75,53962.45156213455,-1490.451562134549
33,1980年10月,58267,1980,1980.8333333333333,54092.358137473464,4174.641862526536
34,1980年11月,60124,1980,1980.9166666666667,54222.26471281238,5901.735287187621
35,1980年12月,66534,1980,1981.0,54352.171288151294,12181.828711848706
36,1981年1月,71327,1981,1981.0833333333333,54482.07786349021,16844.92213650979
37,1981年2月,60934,1981,1981.1666666666667,54611.984438829124,6322.015561170876
38,1981年3月,65853,1981,1981.25,54741.89101416804,11111.108985831961
39,1981年4月,60286,1981,1981.3333333333333,54871.797589506954,5414.202410493046
40,1981年5月,58584,1981,1981.4166666666667,55001.70416484587,3582.295835154131
41,1981年6月,53895,1981,1981.5,55131.610740184784,-1236.610740184784
42,1981年7月,57678,1981,1981.5833333333333,55261.51731552323,2416.4826844767667
43,1981年8月,54819,1981,1981.6666666666667,55391.423890862614,-572.4238908626139
44,1981年9月,52582,1981,1981.75,55521.33046620106,-2939.3304662010632
45,1981年10月,57887,1981,1981.8333333333333,55651.23704153998,2235.7629584600218
46,1981年11月,60888,1981,1981.9166666666667,55781.14361687936,5106.856383120641
47,1981年12月,65529,1981,1982.0,55911.05019221781,9617.949807782192
48,1982年1月,68146,1982,1982.0833333333333,56040.95676755672,12105.043232443277
49,1982年2月,66251,1982,1982.1666666666667,56170.86334289564,10080.136657104362
50,1982年3月,65819,1982,1982.25,56300.76991823455,9518.230081765447
51,1982年4月,60097,1982,1982.3333333333333,56430.67649357347,3666.323506426532
52,1982年5月,58094,1982,1982.4166666666667,56560.58306891238,1533.4169310876168
53,1982年6月,52136,1982,1982.5,56690.4896442513,-4554.489644251298
54,1982年7月,53845,1982,1982.5833333333333,56820.39621959021,-2975.396219590213
55,1982年8月,54593,1982,1982.6666666666667,56950.30279492913,-2357.302794929128
56,1982年9月,52669,1982,1982.75,57080.20937026804,-4411.209370268043
57,1982年10月,57514,1982,1982.8333333333333,57210.11594560649,303.88405439350754
58,1982年11月,58035,1982,1982.9166666666667,57340.02252094587,694.9774790541269
59,1982年12月,64684,1982,1983.0,57469.92909628479,7214.070903715212
60,1983年1月,73258,1983,1983.0833333333333,57599.83567162324,15658.164328376763
61,1983年2月,69619,1983,1983.1666666666667,57729.74224696262,11889.257753037382
62,1983年3月,66616,1983,1983.25,57859.64882230107,8756.351177698933
63,1983年4月,59457,1983,1983.3333333333333,57989.55539763998,1467.4446023600176
64,1983年5月,58702,1983,1983.4166666666667,58119.46197297936,582.538027020637
65,1983年6月,53558,1983,1983.5,58249.36854831781,-4691.368548317812
66,1983年7月,56576,1983,1983.5833333333333,58379.27512365673,-1803.2751236567274
67,1983年8月,59073,1983,1983.6666666666667,58509.18169899564,563.8183010043576
68,1983年9月,53650,1983,1983.75,58639.08827433456,-4989.088274334557
69,1983年10月,60120,1983,1983.8333333333333,58768.99484967347,1351.0051503265277
70,1983年11月,62403,1983,1983.9166666666667,58898.90142501239,3504.0985749876127
71,1983年12月,67006,1983,1984.0,59028.8080003513,7977.191999648698
72,1984年1月,73279,1984,1984.0833333333333,59158.71457569022,14120.285424309783
73,1984年2月,66490,1984,1984.1666666666667,59288.62115102913,7201.378848970868
74,1984年3月,67797,1984,1984.25,59418.52772636805,8378.472273631953
75,1984年4月,61736,1984,1984.3333333333333,59548.4343017065,2187.5656982935034
76,1984年5月,60906,1984,1984.4166666666667,59678.34087704588,1227.6591229541227
77,1984年6月,55007,1984,1984.5,59808.24745238479,-4801.247452384792
78,1984年7月,56815,1984,1984.5833333333333,59938.15402772324,-3123.1540277232416
79,1984年8月,58403,1984,1984.6666666666667,60068.06060306262,-1665.0606030626222
80,1984年9月,54269,1984,1984.75,60197.96717840107,-5928.967178401072
81,1984年10月,59420,1984,1984.8333333333333,60327.87375373999,-907.8737537399866
82,1984年11月,60283,1984,1984.9166666666667,60457.78032907937,-174.78032907936722
83,1984年12月,65842,1984,1985.0,60587.68690441782,5254.313095582183
84,1985年1月,71890,1985,1985.0833333333333,60717.59347975673,11172.406520243268
85,1985年2月,62025,1985,1985.1666666666667,60847.50005509565,1177.4999449043535
86,1985年3月,66571,1985,1985.25,60977.40663043456,5593.5933695654385
87,1985年4月,60953,1985,1985.3333333333333,61107.31320577348,-154.3132057734765
88,1985年5月,59890,1985,1985.4166666666667,61237.21978111239,-1347.2197811123915
89,1985年6月,55584,1985,1985.5,61367.12635645131,-5783.1263564513065
90,1985年7月,58231,1985,1985.5833333333333,61497.03293179022,-3266.0329317902215
91,1985年8月,58738,1985,1985.6666666666667,61626.93950712914,-2888.9395071291365
92,1985年9月,54709,1985,1985.75,61756.84608246805,-7047.8460824680515
93,1985年10月,61804,1985,1985.8333333333333,61886.7526578065,-82.75265780650079
94,1985年11月,63122,1985,1985.9166666666667,62016.65923314588,1105.3407668541186
95,1985年12月,78766,1985,1986.0,62146.5658084848,16619.434191515204
96,1986年1月,77074,1986,1986.0833333333333,62276.472383823246,14797.527616176754
97,1986年2月,64083,1986,1986.1666666666667,62406.37895916263,1676.6210408373736
98,1986年3月,67323,1986,1986.25,62536.285534501076,4786.714465498924
99,1986年4月,62502,1986,1986.3333333333333,62666.19210983999,-164.19210983999074
100,1986年5月,60895,1986,1986.4166666666667,62796.09868517937,-1901.0986851793714
101,1986年6月,56927,1986,1986.5,62926.00526051782,-5999.005260517821
102,1986年7月,57370,1986,1986.5833333333333,63055.911835856736,-5685.911835856736
103,1986年8月,57324,1986,1986.6666666666667,63185.81841119565,-5861.818411195651
104,1986年9月,55212,1986,1986.75,63315.724986534566,-8103.724986534566
105,1986年10月,61862,1986,1986.8333333333333,63445.63156187348,-1583.6315618734807
106,1986年11月,63231,1986,1986.9166666666667,63575.538137212396,-344.53813721239567
107,1986年12月,66817,1986,1987.0,63705.44471255131,3111.5552874486893
108,1987年1月,72123,1987,1987.0833333333333,63835.351287890226,8287.648712109774
109,1987年2月,61262,1987,1987.1666666666667,63965.25786322914,-2703.2578632291406
110,1987年3月,67186,1987,1987.25,64095.164438568056,3090.8355614319444
111,1987年4月,62561,1987,1987.3333333333333,64225.071013906505,-1664.071013906505
112,1987年5月,60944,1987,1987.4166666666667,64354.977589245886,-3410.9775892458856
113,1987年6月,57571,1987,1987.5,64484.8841645848,-6913.884164584801
114,1987年7月,58765,1987,1987.5833333333333,64614.79073992325,-5849.79073992325
115,1987年8月,58124,1987,1987.6666666666667,64744.69731526263,-6620.697315262631
